text,category,difficulty,option1,option2,option3,option4,correct_answer
Profit formula?,13,medium,Selling - Cost,Cost - Selling,OS,DB,Selling - Cost
Simple interest?,13,medium,P*R*T/100,P+R+T,OS,DB,P*R*T/100
Percentage means?,13,easy,Out of 100,Out of 10,OS,DB,Out of 100
Square of 5?,13,easy,25,10,20,30,25

Who is Prime Minister of India?,14,easy,Narendra Modi,Rahul Gandhi,Amit Shah,President,Narendra Modi
Capital of India?,14,easy,New Delhi,Mumbai,Kolkata,Chennai,New Delhi
ISRO stands for?,14,medium,Indian Space Research Org,OS,DB,AI,Indian Space Research Org
First PM of India?,14,easy,Jawaharlal Nehru,Gandhi,Patel,Azad,Jawaharlal Nehru
Currency of India?,14,easy,Rupee,Dollar,Yen,Euro,Rupee
UNO stands for?,14,medium,United Nations Org,OS,DB,AI,United Nations Org
President of India?,14,medium,Droupadi Murmu,Modi,Rahul,Amit Shah,Droupadi Murmu
Olympics held every?,14,easy,4 years,2 years,1 year,5 years,4 years
National animal of India?,14,easy,Tiger,Lion,Elephant,Peacock,Tiger
National flag colors?,14,easy,Orange white green,Red blue yellow,Black white green,Orange white green

What is machine design?,15,easy,Design of machines,OS,DB,AI,Design of machines
Stress means?,15,medium,Force per area,Speed,Mass,Time,Force per area
Strain means?,15,medium,Deformation,Force,Speed,Mass,Deformation
Material strength?,15,medium,Ability to resist load,Speed,OS,DB,Ability to resist load
Bolt is used for?,15,easy,Joining parts,Heating,OS,DB,Joining parts

Fluid mechanics studies?,16,easy,Fluid behavior,OS,DB,AI,Fluid behavior
What is pressure?,16,medium,Force per area,Speed,Mass,Time,Force per area
Bernoulli principle?,16,medium,Energy conservation in fluid,OS,DB,AI,Energy conservation in fluid
Viscosity means?,16,medium,Resistance to flow,Speed,Mass,Force,Resistance to flow
Density formula?,16,easy,Mass/volume,Volume/mass,Force/time,Speed/time,Mass/volume

What is structure?,17,easy,Load bearing system,OS,DB,AI,Load bearing system
Beam is?,17,medium,Horizontal member,Vertical member,OS,DB,Horizontal member
Column is?,17,medium,Vertical member,Horizontal member,OS,DB,Vertical member
Load means?,17,easy,Force applied,Speed,Mass,Time,Force applied
Concrete is?,17,easy,Construction material,OS,DB,AI,Construction material
